transaction_id,customer_id,employee_id,Transaction_Date,Credit_Card_Number,IBAN,Currency_Code,Random_Number,Category,Group,Is_Active,Last_Updated,Description
574,574,574,2024-02-29 00:59:47.278671,180019219264670,GB74TOVX73747609114163,TRY,6814.0,C,Z,Yes,2022-08-13 12:46:20.936883,Must rise technology far.
34359741128,34359741128,34359741128,2024-01-06 03:56:59.852148,2703784514039085,GB35QDHG46479022887163,AZN,4954.0,A,Z,Unknown,2023-11-30 06:59:11.881367,Happen history big direction general morning.
51539608890,51539608890,51539608890,2024-04-23 11:18:49.523894,3526132863038253,GB82HVAS53762719811565,KGS,2122.0,C,Y,No,2024-02-02 13:30:04.082605,All upon day want truth once military.
25769804069,25769804069,25769804069,2024-04-28 00:12:15.839482,180088432004585,GB80FPLO71682620123724,SAR,3388.0,A,X,No,2023-01-18 09:51:06.404297,Consider all apply remember lot.
25769807356,25769807356,25769807356,2024-01-21 03:55:32.424295,0,GB77MXUC06740088302690,MRO,2274.0,A,Z,No,2021-12-15 12:26:08.752805,Wide only until teach.
42949676315,42949676315,42949676315,2024-04-13 02:31:17.677794,630457085821,Unknown,ISK,7523.0,D,X,No,2020-12-04 06:33:17.380234,Party herself fly success create.
51539609761,51539609761,51539609761,2024-01-14 10:52:51.543734,6529462662899138,GB52VPXK78804861911094,TZS,1859.0,A,Y,Yes,2021-04-22 10:50:44.882444,Save dark follow.
25769806242,25769806242,25769806242,2024-02-21 03:52:08.894253,501838660154,GB24EXSI18624632566230,MRO,3499.0,D,Z,Unknown,2022-06-26 11:51:13.955019,Indicate know contain billion hospital.
34359741083,34359741083,34359741083,2024-02-10 13:09:40.634291,503824498193,Unknown,KYD,9845.0,B,X,No,2022-11-25 02:26:23.054847,Occur short upon.
546,546,546,2024-02-06 15:17:29.042356,4614470991529012,GB33UQQL47526786866531,Unknown,9136.0,D,Z,No,2023-07-26 07:39:57.311613,Agency garden blood east happen different team.
8589938420,8589938420,8589938420,2024-04-19 06:48:01.584873,4463453097903618068,GB58PLAZ04604190766234,ALL,4342.0,B,Y,No,2022-03-04 19:31:48.557531,Create draw table in enough vote.
60129544103,60129544103,60129544103,2024-03-27 04:15:31.126147,372591757715741,GB91HSEO55483096522203,PLN,7544.0,D,Y,Yes,2022-01-22 15:13:54.831393,Prepare condition term up short anyone level.
2072,2072,2072,2024-01-12 23:51:39.230200,6011807542774320,GB51NCDY43625237129540,INR,6593.0,A,Z,No,2022-08-20 01:53:16.731795,Night plan tree major.
60129546588,60129546588,60129546588,2024-04-28 23:41:40.517950,2663298310818772,Unknown,TMT,7871.0,B,Z,Yes,2021-05-20 19:43:49.030359,Role material she responsibility list.
51539610411,51539610411,51539610411,2024-04-12 13:05:37.975147,6562842576115564,GB81WDDD95554634343987,AWG,6291.0,Unknown,Y,Yes,2023-01-30 09:59:15.532977,Far green away because wish fight.
51539611621,51539611621,51539611621,2024-01-25 05:25:41.857884,6571291918732729,GB87KPTV86410222352779,NIO,9251.0,C,X,Yes,2020-09-05 09:00:01.016400,Activity lay rock activity cut maintain.
